,Symbol,EPS Next 5Y in percent,DCF Value,Free Cash Flow,Beta,Totoal debt
0,AAPL,15.43,140.4487512637428,92953000000,1.205714,126247000000
1,ADBE,18.0,361.61593170661445,5308000000,1.046233,5500000000
2,BA,12.33,-743.0900487902601,-19713000000,1.523116,75087000000
3,CAT,32.1,534.7596397448688,4212000000,0.90961,25674000000
4,DIS,50.69,158.40171509048093,1989000000,1.16935,58566000000
5,DOCU,46.8,167.05973785713695,214559000,0.900509,972773000
6,ENPH,43.51,160.93502638078212,195776000,1.290389,401907000
7,ETSY,52.8,788.3813472490973,676631000,1.60987,1198042000
8,GOOGL,24.41,3097.9012384902126,42843000000,1.043636,36825000000
9,GS,17.45,-1877.8355893452558,-20037000000,1.531948,514604000000
10,HD,10.6,304.69651250902007,16376000000,1.008831,41563000000
11,JNJ,8.12,150.83588258425925,20189000000,0.701298,64231000000
12,JPM,10.7,-551.8413493437894,-79910000000,1.13922,783300000000
13,KO,9.71,38.633641614715,8667000000,0.662337,49042000000
14,LMT,4.35,323.8035124147099,6417000000,0.931428,15606000000
15,MCD,21.61,236.24334089790412,4624400000,0.584935,39813100000
16,MMM,8.0,195.76249087430898,6612000000,0.947532,21030000000
17,MSFT,16.75,244.76175850916545,56118000000,0.862337,70956000000
18,NKE,14.95,107.82506078711342,5962000000,0.932467,14094000000
19,NVDA,32.6,115.00102593720759,4694000000,1.452987,7481000000
20,PG,6.95,118.45920627552951,15584000000,0.411948,38492000000
21,QCOM,32.19,436.51728014529897,8648000000,1.331428,19376000000
22,SQ,54.41,85.00969902737624,243201000,2.351688,3230475000
23,TGT,13.29,398.23656047878546,7876000000,1.025974,14153000000
24,TSLA,73.06,1008.9208010990457,2711000000,2.008831,12621000000
25,UNP,16.14,191.02742439386066,5613000000,1.201558,27654000000
26,V,10.9,150.38728524313453,14522000000,0.916883,24143000000
27,VZ,3.57,64.23541502704516,23576000000,0.408311,144881000000
28,XOM,1.0,-22.47511547916842,-2614000000,1.343376,70540000000
29,ZM,13.58,150.51021936303218,1391205000,-1.287834,373035000
